발생일시,월별,시간대별,관할해경서,발생해역,위도,경도,기상상태,발생원인,발생유형,사고선박수,발생인원,구조,부상,사망,실종,선 종,톤수
2020-12-12 14:30,12,14,인천,영해,37 | 16 | 53,126 | 3 | 37,양호,운항부주의,침몰,1,0,0,0,0,0,어선,9.16
2020-12-12 12:56,12,12,포항,영해,35 | 51 | 53,129 | 32 | 15,양호,운항부주의,좌초/좌주,1,1,1,0,0,0,어선,4.79
2020-12-12 12:20,12,12,태안,영해,36 | 38 | 36,126 | 11 | 3,양호,정비불량,기관손상,1,2,2,0,0,0,어선,9.77
2020-12-12 11:03,12,11,부안,항계 내,35 | 36 | 58,126 | 27 | 12,양호,정비불량,기관손상,1,1,1,0,0,0,어선,1.79
2020-12-12 09:26,12,09,인천,영해,37 | 41 | 49,126 | 22 | 36,양호,정비불량,기관손상,1,1,1,0,0,0,고무보트,0.01
2020-12-12 07:28,12,07,통영,영해,34 | 38 | 6,128 | 39 | 47,양호,안전부주의,작업 중 인명사상,1,1,1,1,0,0,어선,9.77
2020-12-12 06:28,12,06,창원,영해,34 | 47 | 56,128 | 53 | 40,양호,운항부주의,부유물감김,1,22,22,0,0,0,낚시어선,9.77
2020-12-12 06:26,12,06,군산,영해,36 | 3 | 54,126 | 24 | 9,양호,운항부주의,접촉,1,16,16,0,0,0,관공선,970
2020-12-12 06:26,12,06,군산,영해,36 | 3 | 54,126 | 24 | 9,양호,운항부주의,접촉,1,5,5,0,0,0,어선,21
2020-12-12 04:30,12,04,서귀포,영해,33 | 25 | 0,127 | 7 | 60,양호,정비불량,기관손상,1,5,5,0,0,0,어선,9.77
2020-12-12 04:17,12,04,포항,항계 내,36 | 5 | 24,129 | 28 | 1,양호,배터리 방전,운항저해,1,3,3,0,0,0,모터보트,1.53
2020-12-11 23:36,12,23,완도,항계 내,34 | 33 | 30,126 | 20 | 4,양호,운항부주의,부유물감김,1,3,3,0,0,0,예부선,82.67
2020-12-11 18:00,12,18,보령,영해,36 | 9 | 48,126 | 9 | 0,양호,정비불량,기관손상,1,6,6,0,0,0,어선,9.77
2020-12-11 15:24,12,15,동해,영해,37 | 49 | 4,128 | 54 | 12,양호,정비불량,추진기손상,1,2,2,0,0,0,모터보트,0.73
2020-12-11 15:00,12,15,서귀포,영해,33 | 28 | 0,127 | 3 | 0,양호,운항부주의,충돌,1,10,10,0,0,0,어선,29
2020-12-11 15:00,12,15,서귀포,영해,33 | 28 | 0,127 | 3 | 0,양호,운항부주의,충돌,1,8,8,0,0,0,어선,29
2020-12-11 13:25,12,13,여수,항계 내,34 | 43 | 26,127 | 41 | 59,양호,기타 ,화재,1,0,0,0,0,0,기타,40
2020-12-11 09:57,12,09,목포,항계 내,34 | 48 | 0,126 | 19 | 60,양호,정비불량,기관손상,1,1,1,0,0,0,모터보트,0.84
2020-12-11 06:15,12,06,제주,영해,33 | 37 | 36,126 | 24 | 2,양호,정비불량,기관손상,1,2,2,0,0,0,모터보트,4.11
2020-12-10 17:13,12,17,포항,영해,35 | 42 | 0,129 | 28 | 60,양호,정비불량,추진기손상,1,4,4,0,0,0,낚시어선,8.55
2020-12-10 17:10,12,17,인천,영해,37 | 34 | 54,126 | 15 | 2,양호,정비불량,기관손상,1,7,7,0,0,0,어선,9.77
2020-12-10 15:02,12,15,부산,항계 내,35 | 5 | 45,129 | 2 | 23,양호,안전부주의,화재,1,3,3,0,0,0,예부선,430
2020-12-10 13:41,12,13,태안,영해,36 | 39 | 38,126 | 7 | 26,양호,정비불량,키손상,1,1,1,0,0,0,모터보트,0.75
2020-12-10 12:10,12,12,제주,영해,33 | 31 | 0,126 | 25 | 60,양호,정비불량,기관손상,1,1,1,0,0,0,모터보트,3.21
2020-12-10 11:56,12,11,서귀포,영해-EEZ,32 | 46 | 0,125 | 55 | 60,양호,운항부주의,부유물감김,1,8,8,0,0,0,어선,78
2020-12-10 11:00,12,11,동해,영해,37 | 47 | 9,128 | 56 | 2,양호,정비불량,기관손상,1,2,2,0,0,0,어선,2.53
2020-12-10 10:26,12,10,포항,영해,36 | 12 | 0,129 | 27 | 8,양호,배터리 방전,운항저해,1,2,2,0,0,0,어선,7.93
2020-12-10 10:00,12,10,동해,영해-EEZ,37 | 10 | 0,130 | 37 | 0,양호,운항부주의,부유물감김,1,4,4,0,0,0,어선,24
2020-12-10 08:22,12,08,완도,항계 내,34 | 1 | 59,126 | 49 | 59,양호,배터리 방전,운항저해,1,1,1,0,0,0,어선,1.68
2020-12-10 05:13,12,05,울산,영해,35 | 11 | 44,129 | 14 | 43,양호,연료고갈,운항저해,1,6,6,0,0,0,어선,6.11
2020-12-09 23:45,12,23,태안,영해,36 | 43 | 48,125 | 55 | 23,양호,운항부주의,부유물감김,1,3,3,0,0,0,어선,6.67
2020-12-09 21:47,12,21,울진,영해,37 | 5 | 3,129 | 27 | 47,양호,운항부주의,부유물감김,1,4,4,0,0,0,유조선,200
2020-12-09 18:20,12,18,동해,영해-EEZ,37 | 46 | 0,130 | 39 | 0,양호,정비불량,기관손상,1,2,2,0,0,0,어선,9.77
